county name,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020
Washington-Pierce,0,0,0,0,0,0,0,1,3,7,14,17,17,17,19,26,29,38,45,56,75,83,95,107,138,138,155,186,231,282,317,352,377,417,498,571,620,688,717,760,795,838,875,922,931,969,1000,1022,1058,1074,1109,1164,1188,1219,1236,1262,1287,1307,1321,1349,1382,1401,1430,1457,1484,1500,1531,1552,1591,1591,1625,1625
Washington-Kittitas,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,3,3,4,4,4,4,4,5,6,6,8,8,8,8,9,9,10,10,10,10,11,12,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,17
Washington-Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Washington-Snohomish,2,2,3,4,4,5,15,16,24,28,34,57,72,108,133,154,176,233,266,310,348,385,447,480,519,614,634,778,912,912,1068,1127,1229,1304,1376,1450,1503,1559,1603,1659,1695,1745,1802,1835,1867,1907,1950,1988,2032,2060,2093,2143,2163,2189,2209,2240,2268,2297,2311,2559,2577,2640,2671,2696,2696,2696,2785,2808,2832,2889,2918,2918
Washington-Thurston,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,5,6,6,8,9,11,11,14,14,27,27,33,36,36,48,51,55,58,64,67,67,74,77,81,81,81,81,81,82,82,86,92,93,94,94,94,95,96,98,100,100,100,100,104,105,106,111,111,113,113,115,115,115,117
Washington-Clallam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,4,4,5,5,5,6,6,8,8,8,8,8,8,8,9,10,11,11,12,12,12,12,14,14,14,14,14,14,14,14,14,14,15,15,15,17,18,18,18,18,18,18,19,19,19,19,19
Washington-Ferry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Washington-Okanogan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,4,4,7,9,9,10,12,12,14,15,15,15,15,15,15,14,14,14,14,14,16,16,16,17,19,20,21,21,22,25,25,25,25,25,25,25,27,27
Washington-Wahkiakum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
Washington-Whatcom,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,6,7,10,10,14,48,48,66,66,86,92,102,116,116,139,144,175,182,199,224,228,238,241,243,250,261,263,264,265,271,271,273,275,277,278,280,281,282,283,284,289,290,293,298,304,311,314,317,319,319,326,328,329,330
